gu,date,daily_rain_mm,year,month
강남구,2023-12-05,0.0,2023,12
강남구,2023-12-06,1.5,2023,12
강남구,2023-12-07,0.0,2023,12
강남구,2023-12-08,0.0,2023,12
강남구,2023-12-09,0.0,2023,12
강남구,2023-12-10,0.0,2023,12
강남구,2023-12-11,7.5,2023,12
강남구,2023-12-12,7.5,2023,12
강남구,2023-12-13,0.0,2023,12
강남구,2023-12-14,18.0,2023,12
강남구,2023-12-15,40.0,2023,12
강남구,2023-12-16,2.0,2023,12
강남구,2023-12-17,0.0,2023,12
강남구,2023-12-18,0.0,2023,12
강남구,2023-12-19,0.0,2023,12
강남구,2023-12-20,0.5,2023,12
강남구,2023-12-21,0.0,2023,12
강남구,2023-12-22,0.0,2023,12
강남구,2023-12-23,0.0,2023,12
강남구,2023-12-24,1.0,2023,12
강남구,2023-12-25,0.5,2023,12
강남구,2023-12-26,0.0,2023,12
강남구,2023-12-27,0.0,2023,12
강남구,2023-12-28,0.0,2023,12
강남구,2023-12-29,0.0,2023,12
강남구,2023-12-30,7.5,2023,12
강남구,2023-12-31,12.5,2023,12
강남구,2024-01-01,0.0,2024,1
강남구,2024-01-02,0.0,2024,1
강남구,2024-01-03,0.0,2024,1
강남구,2024-01-04,0.0,2024,1
강남구,2024-01-05,0.0,2024,1
강남구,2024-01-06,0.0,2024,1
강남구,2024-01-07,1.5,2024,1
강남구,2024-01-08,0.0,2024,1
강남구,2024-01-09,0.5,2024,1
강남구,2024-01-10,1.5,2024,1
강남구,2024-01-11,0.0,2024,1
강남구,2024-01-15,3.0,2024,1
강남구,2024-01-16,0.0,2024,1
강남구,2024-01-17,9.5,2024,1
강남구,2024-01-18,1.5,2024,1
강남구,2024-01-19,0.0,2024,1
강남구,2024-01-20,1.0,2024,1
강남구,2024-01-21,0.0,2024,1
강남구,2024-01-22,0.0,2024,1
강남구,2024-01-23,0.0,2024,1
강남구,2024-01-24,0.0,2024,1
강남구,2024-01-25,0.0,2024,1
강남구,2024-01-26,0.0,2024,1
강남구,2024-01-27,0.0,2024,1
강남구,2024-01-28,0.0,2024,1
강남구,2024-01-29,0.0,2024,1
강남구,2024-01-30,0.0,2024,1
강남구,2024-01-31,0.0,2024,1
강남구,2024-02-01,0.0,2024,2
강남구,2024-02-02,0.0,2024,2
강남구,2024-02-03,0.0,2024,2
강남구,2024-02-04,0.0,2024,2
강남구,2024-02-05,2.0,2024,2
강남구,2024-02-06,1.5,2024,2
강남구,2024-02-07,0.0,2024,2
강남구,2024-02-08,0.0,2024,2
강남구,2024-02-11,0.0,2024,2
강남구,2024-02-12,0.0,2024,2
강남구,2024-02-13,0.0,2024,2
강남구,2024-02-14,0.0,2024,2
강남구,2024-02-15,8.0,2024,2
강남구,2024-02-16,0.0,2024,2
강남구,2024-02-17,0.0,2024,2
강남구,2024-02-18,18.0,2024,2
강남구,2024-02-19,7.5,2024,2
강남구,2024-02-20,2.5,2024,2
강남구,2024-02-21,17.0,2024,2
강남구,2024-02-22,7.0,2024,2
강남구,2024-02-23,5.0,2024,2
강남구,2024-02-24,2.5,2024,2
강남구,2024-02-25,2.5,2024,2
강남구,2024-02-26,0.0,2024,2
강남구,2024-02-27,0.0,2024,2
강남구,2024-02-28,0.0,2024,2
강남구,2024-02-29,0.0,2024,2
강남구,2024-03-01,0.0,2024,3
강남구,2024-03-02,0.0,2024,3
강남구,2024-03-03,0.0,2024,3
강남구,2024-03-04,0.0,2024,3
강남구,2024-03-05,0.0,2024,3
강남구,2024-03-06,0.0,2024,3
강남구,2024-03-07,1.0,2024,3
강남구,2024-03-08,0.0,2024,3
강남구,2024-03-09,0.0,2024,3
강남구,2024-03-10,0.0,2024,3
강남구,2024-03-11,0.0,2024,3
강남구,2024-03-12,0.5,2024,3
강남구,2024-03-13,0.0,2024,3
강남구,2024-03-14,0.0,2024,3
강남구,2024-03-15,0.0,2024,3
강남구,2024-03-16,0.0,2024,3
강남구,2024-03-17,0.0,2024,3
강남구,2024-03-18,0.0,2024,3
강남구,2024-03-19,0.0,2024,3
강남구,2024-03-20,0.0,2024,3
강남구,2024-03-21,0.0,2024,3
강남구,2024-03-22,9.5,2024,3
강남구,2024-03-23,0.5,2024,3
강남구,2024-03-24,0.0,2024,3
강남구,2024-03-28,0.5,2024,3
강남구,2024-03-29,1.5,2024,3
강남구,2024-03-30,0.0,2024,3
강남구,2024-03-31,0.0,2024,3
강남구,2024-04-01,0.0,2024,4
강남구,2024-04-02,0.0,2024,4
강남구,2024-04-03,0.0,2024,4
강남구,2024-04-04,0.0,2024,4
강남구,2024-04-05,0.0,2024,4
강남구,2024-04-06,0.0,2024,4
강남구,2024-04-07,0.0,2024,4
강남구,2024-04-08,0.0,2024,4
강남구,2024-04-09,0.0,2024,4
강남구,2024-04-10,0.0,2024,4
강남구,2024-04-11,0.0,2024,4
강남구,2024-04-12,0.0,2024,4
강남구,2024-04-13,0.0,2024,4
강남구,2024-04-14,0.0,2024,4
강남구,2024-04-15,15.5,2024,4
강남구,2024-04-16,2.5,2024,4
강남구,2024-04-17,0.0,2024,4
강남구,2024-04-18,0.0,2024,4
강남구,2024-04-19,0.0,2024,4
강남구,2024-04-20,5.5,2024,4
강남구,2024-04-21,0.0,2024,4
강남구,2024-04-22,0.0,2024,4
강남구,2024-04-23,0.0,2024,4
강남구,2024-04-24,14.5,2024,4
강남구,2024-04-25,0.0,2024,4
강남구,2024-04-26,0.0,2024,4
강남구,2024-04-27,0.0,2024,4
강남구,2024-04-28,0.0,2024,4
강남구,2024-04-29,0.0,2024,4
강남구,2024-04-30,0.0,2024,4
강남구,2024-05-01,0.0,2024,5
강남구,2024-05-02,0.0,2024,5
강남구,2024-05-03,0.0,2024,5
강남구,2024-05-04,0.0,2024,5
강남구,2024-05-05,40.5,2024,5
강남구,2024-05-06,9.0,2024,5
강남구,2024-05-07,3.0,2024,5
강남구,2024-05-08,0.0,2024,5
강남구,2024-05-09,0.0,2024,5
강남구,2024-05-10,0.0,2024,5
강남구,2024-05-11,23.0,2024,5
강남구,2024-05-12,0.0,2024,5
강남구,2024-05-13,0.0,2024,5
강남구,2024-05-14,0.0,2024,5
강남구,2024-05-15,25.0,2024,5
강남구,2024-05-16,1.0,2024,5
강남구,2024-05-17,0.0,2024,5
강남구,2024-05-18,0.0,2024,5
강남구,2024-05-19,0.0,2024,5
강남구,2024-05-20,0.0,2024,5
강남구,2024-05-21,0.0,2024,5
강남구,2024-05-22,0.0,2024,5
강남구,2024-05-23,0.0,2024,5
강남구,2024-05-24,0.0,2024,5
강남구,2024-05-25,0.0,2024,5
강남구,2024-05-26,8.5,2024,5
강남구,2024-05-27,0.0,2024,5
강남구,2024-05-28,0.0,2024,5
강남구,2024-05-29,0.0,2024,5
강남구,2024-05-30,0.0,2024,5
강남구,2024-05-31,0.0,2024,5
강남구,2024-06-01,0.0,2024,6
강남구,2024-06-02,0.0,2024,6
강남구,2024-06-03,0.0,2024,6
강남구,2024-06-04,0.0,2024,6
강남구,2024-06-05,0.0,2024,6
강남구,2024-06-06,0.0,2024,6
강남구,2024-06-07,0.0,2024,6
강남구,2024-06-08,20.0,2024,6
강남구,2024-06-09,0.0,2024,6
강남구,2024-06-10,0.0,2024,6
강남구,2024-06-11,0.0,2024,6
강남구,2024-06-12,0.0,2024,6
강남구,2024-06-13,0.0,2024,6
강남구,2024-06-14,0.0,2024,6
강남구,2024-06-15,10.0,2024,6
강남구,2024-06-16,0.0,2024,6
강남구,2024-06-17,0.0,2024,6
강남구,2024-06-18,0.0,2024,6
강남구,2024-06-19,0.0,2024,6
강남구,2024-06-20,0.0,2024,6
강남구,2024-06-21,0.0,2024,6
강남구,2024-06-22,22.5,2024,6
강남구,2024-06-23,10.0,2024,6
강남구,2024-06-24,0.0,2024,6
강남구,2024-06-25,0.0,2024,6
강남구,2024-06-26,0.0,2024,6
강남구,2024-06-27,0.0,2024,6
강남구,2024-06-28,0.0,2024,6
강남구,2024-06-29,29.0,2024,6
강남구,2024-06-30,29.0,2024,6
강남구,2024-07-01,0.0,2024,7
강남구,2024-07-02,65.0,2024,7
강남구,2024-07-03,1.0,2024,7
강남구,2024-07-04,5.0,2024,7
강남구,2024-07-05,9.0,2024,7
강남구,2024-07-06,5.0,2024,7
강남구,2024-07-07,24.0,2024,7
강남구,2024-07-08,20.5,2024,7
강남구,2024-07-09,3.0,2024,7
강남구,2024-07-10,9.5,2024,7
강남구,2024-07-11,0.0,2024,7
강남구,2024-07-12,0.0,2024,7
강남구,2024-07-13,0.0,2024,7
강남구,2024-07-14,0.0,2024,7
강남구,2024-07-15,0.0,2024,7
강남구,2024-07-16,17.5,2024,7
강남구,2024-07-17,36.5,2024,7
강남구,2024-07-18,136.0,2024,7
강남구,2024-07-19,0.0,2024,7
강남구,2024-07-20,21.5,2024,7
강남구,2024-07-21,7.5,2024,7
강남구,2024-07-22,50.5,2024,7
강남구,2024-07-23,2.0,2024,7
강남구,2024-07-24,18.5,2024,7
강남구,2024-07-25,7.0,2024,7
강남구,2024-07-26,10.5,2024,7
강남구,2024-07-27,14.0,2024,7
강남구,2024-07-28,0.0,2024,7
강남구,2024-07-29,0.0,2024,7
강남구,2024-07-30,0.0,2024,7
강남구,2024-07-31,0.0,2024,7
강남구,2024-08-01,0.0,2024,8
강남구,2024-08-02,0.0,2024,8
강남구,2024-08-03,0.0,2024,8
강남구,2024-08-04,0.0,2024,8
강남구,2024-08-05,22.5,2024,8
강남구,2024-08-06,3.0,2024,8
강남구,2024-08-07,9.0,2024,8
강남구,2024-08-08,10.0,2024,8
강남구,2024-08-09,0.0,2024,8
강남구,2024-08-10,0.0,2024,8
강남구,2024-08-11,0.0,2024,8
강남구,2024-08-12,0.0,2024,8
강남구,2024-08-13,46.5,2024,8
강남구,2024-08-14,1.0,2024,8
강남구,2024-08-15,4.0,2024,8
강남구,2024-08-16,0.0,2024,8
강남구,2024-08-17,0.0,2024,8
강남구,2024-08-18,1.0,2024,8
강남구,2024-08-19,0.0,2024,8
강남구,2024-08-20,0.0,2024,8
강남구,2024-08-21,44.5,2024,8
강남구,2024-08-22,1.0,2024,8
강남구,2024-08-23,0.0,2024,8
강남구,2024-08-24,7.0,2024,8
강남구,2024-08-25,0.0,2024,8
강남구,2024-08-26,12.0,2024,8
강남구,2024-08-27,0.5,2024,8
강남구,2024-08-28,0.0,2024,8
강남구,2024-08-29,0.0,2024,8
강남구,2024-08-30,0.0,2024,8
강남구,2024-08-31,0.0,2024,8
강남구,2024-09-01,0.0,2024,9
강남구,2024-09-02,1.0,2024,9
강남구,2024-09-03,0.0,2024,9
강남구,2024-09-04,0.0,2024,9
강남구,2024-09-05,16.5,2024,9
강남구,2024-09-06,5.0,2024,9
강남구,2024-09-07,0.0,2024,9
강남구,2024-09-08,0.0,2024,9
강남구,2024-09-09,0.0,2024,9
강남구,2024-09-10,0.0,2024,9
강남구,2024-09-11,2.0,2024,9
강남구,2024-09-12,50.0,2024,9
강남구,2024-09-13,13.0,2024,9
강남구,2024-09-14,0.0,2024,9
강남구,2024-09-15,0.0,2024,9
강남구,2024-09-16,8.5,2024,9
강남구,2024-09-17,0.0,2024,9
강남구,2024-09-18,0.5,2024,9
강남구,2024-09-19,0.0,2024,9
강남구,2024-09-20,70.0,2024,9
강남구,2024-09-21,25.5,2024,9
강남구,2024-09-22,0.0,2024,9
강남구,2024-09-23,0.0,2024,9
강남구,2024-09-24,0.0,2024,9
강남구,2024-09-25,0.0,2024,9
강남구,2024-09-26,0.0,2024,9
강남구,2024-09-27,0.0,2024,9
강남구,2024-09-28,0.0,2024,9
강남구,2024-09-29,0.0,2024,9
강남구,2024-09-30,0.0,2024,9
강남구,2024-10-01,1.5,2024,10
강남구,2024-10-02,0.0,2024,10
강남구,2024-10-03,0.0,2024,10
강남구,2024-10-04,0.0,2024,10
강남구,2024-10-05,0.0,2024,10
강남구,2024-10-06,0.0,2024,10
강남구,2024-10-07,0.0,2024,10
강남구,2024-10-08,0.0,2024,10
강남구,2024-10-09,0.0,2024,10
강남구,2024-10-10,0.0,2024,10
강남구,2024-10-11,0.0,2024,10
강남구,2024-10-12,0.0,2024,10
강남구,2024-10-13,0.0,2024,10
강남구,2024-10-14,0.0,2024,10
강남구,2024-10-15,1.0,2024,10
강남구,2024-10-16,0.0,2024,10
강남구,2024-10-17,0.0,2024,10
강남구,2024-10-18,41.5,2024,10
강남구,2024-10-19,0.5,2024,10
강남구,2024-10-20,0.0,2024,10
강남구,2024-10-21,0.0,2024,10
강남구,2024-10-22,10.5,2024,10
강남구,2024-10-24,0.0,2024,10
강남구,2024-10-25,0.0,2024,10
강남구,2024-10-26,0.0,2024,10
강남구,2024-10-27,0.0,2024,10
강남구,2024-10-28,0.0,2024,10
강남구,2024-10-29,0.0,2024,10
강남구,2024-10-30,0.0,2024,10
강남구,2024-10-31,0.0,2024,10
강남구,2024-11-07,0.0,2024,11
강남구,2024-11-08,0.0,2024,11
강남구,2024-11-09,0.0,2024,11
강남구,2024-11-10,0.0,2024,11
강남구,2024-11-11,0.0,2024,11
강남구,2024-11-12,0.0,2024,11
강남구,2024-11-13,0.0,2024,11
강남구,2024-11-14,0.0,2024,11
강남구,2024-11-15,0.0,2024,11
강남구,2024-11-16,2.0,2024,11
강남구,2024-11-19,0.0,2024,11
강남구,2024-11-20,0.0,2024,11
강남구,2024-11-21,1.0,2024,11
강남구,2024-11-22,0.0,2024,11
강남구,2024-11-23,0.0,2024,11
강남구,2024-11-24,0.0,2024,11
강남구,2024-11-25,0.0,2024,11
강남구,2024-11-26,26.5,2024,11
강남구,2024-12-02,0.0,2024,12
강남구,2024-12-03,0.0,2024,12
강남구,2024-12-04,0.0,2024,12
강남구,2024-12-05,1.5,2024,12
강남구,2024-12-10,0.0,2024,12
강남구,2024-12-11,0.0,2024,12
강남구,2024-12-12,0.0,2024,12
강남구,2024-12-13,0.0,2024,12
강남구,2024-12-14,0.0,2024,12
강남구,2024-12-15,0.0,2024,12
강남구,2024-12-16,0.0,2024,12
강남구,2024-12-17,0.0,2024,12
강남구,2024-12-18,0.0,2024,12
강남구,2024-12-19,0.0,2024,12
강남구,2024-12-20,0.0,2024,12
강남구,2024-12-21,3.0,2024,12
강남구,2024-12-22,0.5,2024,12
강남구,2024-12-23,0.0,2024,12
강남구,2024-12-24,0.0,2024,12
강남구,2024-12-25,0.5,2024,12
강남구,2024-12-26,0.0,2024,12
강남구,2024-12-27,0.0,2024,12
강남구,2024-12-28,0.0,2024,12
강남구,2024-12-29,0.0,2024,12
강남구,2024-12-30,0.0,2024,12
강남구,2024-12-31,0.0,2024,12
강동구,2022-01-02,0.0,2022,1
강동구,2022-01-03,0.0,2022,1
강동구,2022-01-04,0.0,2022,1
강동구,2022-01-05,0.0,2022,1
강동구,2022-01-06,0.0,2022,1
강동구,2022-01-07,0.0,2022,1
강동구,2022-01-08,0.0,2022,1
강동구,2022-01-09,0.0,2022,1
강동구,2022-01-10,0.0,2022,1
강동구,2022-01-11,0.0,2022,1
강동구,2022-01-12,0.0,2022,1
강동구,2022-01-13,0.0,2022,1
강동구,2022-01-14,0.0,2022,1
강동구,2022-01-15,0.0,2022,1
강동구,2022-01-16,0.0,2022,1
강동구,2022-01-17,0.0,2022,1
강동구,2022-01-18,0.0,2022,1
강동구,2022-01-19,0.0,2022,1
강동구,2022-01-20,3.0,2022,1
강동구,2022-01-21,0.0,2022,1
강동구,2022-01-22,0.0,2022,1
강동구,2022-01-23,0.0,2022,1
강동구,2022-01-24,0.0,2022,1
강동구,2022-01-25,1.5,2022,1
강동구,2022-01-26,0.0,2022,1
강동구,2022-01-27,0.0,2022,1
강동구,2022-01-28,0.0,2022,1
강동구,2022-01-29,0.0,2022,1
강동구,2022-01-30,0.0,2022,1
강동구,2022-01-31,0.0,2022,1
강동구,2022-02-03,0.0,2022,2
강동구,2022-02-04,0.0,2022,2
강동구,2022-02-05,0.0,2022,2
강동구,2022-02-06,0.0,2022,2
강동구,2022-02-07,0.0,2022,2
강동구,2022-02-08,0.0,2022,2
강동구,2022-02-09,0.0,2022,2
강동구,2022-02-10,0.0,2022,2
강동구,2022-02-11,0.0,2022,2
강동구,2022-02-12,0.0,2022,2
강동구,2022-02-13,0.0,2022,2
강동구,2022-02-14,1.5,2022,2
강동구,2022-02-15,0.0,2022,2
강동구,2022-02-16,0.0,2022,2
강동구,2022-02-17,0.0,2022,2
강동구,2022-02-18,0.0,2022,2
강동구,2022-02-19,0.0,2022,2
강동구,2022-02-20,0.0,2022,2
강동구,2022-02-21,0.0,2022,2
강동구,2022-02-22,0.0,2022,2
강동구,2022-02-23,0.0,2022,2
강동구,2022-02-24,0.0,2022,2
강동구,2022-02-25,0.0,2022,2
강동구,2022-02-26,10.5,2022,2
강동구,2022-02-27,0.0,2022,2
강동구,2022-02-28,0.0,2022,2
강동구,2022-03-01,9.0,2022,3
강동구,2022-03-02,0.0,2022,3
강동구,2022-03-03,0.0,2022,3
강동구,2022-03-04,0.0,2022,3
강동구,2022-03-05,0.0,2022,3
강동구,2022-03-06,0.0,2022,3
강동구,2022-03-07,0.0,2022,3
강동구,2022-03-08,0.0,2022,3
강동구,2022-03-09,0.0,2022,3
강동구,2022-03-10,0.0,2022,3
강동구,2022-03-11,0.0,2022,3
강동구,2022-03-12,10.5,2022,3
강동구,2022-03-13,79.5,2022,3
강동구,2022-03-14,18.0,2022,3
강동구,2022-03-15,0.0,2022,3
강동구,2022-03-16,0.0,2022,3
강동구,2022-03-17,1.5,2022,3
강동구,2022-03-18,0.0,2022,3
강동구,2022-03-19,34.5,2022,3
강동구,2022-03-20,3.0,2022,3
강동구,2022-03-21,0.0,2022,3
강동구,2022-03-22,0.0,2022,3
강동구,2022-03-23,0.0,2022,3
강동구,2022-03-24,0.0,2022,3
강동구,2022-03-25,30.0,2022,3
강동구,2022-03-26,42.0,2022,3
강동구,2022-03-27,0.0,2022,3
강동구,2022-03-28,0.0,2022,3
강동구,2022-03-29,0.0,2022,3
강동구,2022-03-30,0.0,2022,3
강동구,2022-03-31,0.0,2022,3
강동구,2022-04-01,0.0,2022,4
강동구,2022-04-02,0.0,2022,4
강동구,2022-04-03,0.0,2022,4
강동구,2022-04-04,0.0,2022,4
강동구,2022-04-05,0.0,2022,4
강동구,2022-04-06,0.0,2022,4
강동구,2022-04-07,0.0,2022,4
강동구,2022-04-08,0.0,2022,4
강동구,2022-04-09,1.5,2022,4
강동구,2022-04-10,0.0,2022,4
강동구,2022-04-11,0.0,2022,4
강동구,2022-04-12,0.0,2022,4
강동구,2022-04-13,25.5,2022,4
강동구,2022-04-14,0.0,2022,4
강동구,2022-04-15,0.0,2022,4
강동구,2022-04-16,0.0,2022,4
강동구,2022-04-17,0.0,2022,4
강동구,2022-04-18,0.0,2022,4
강동구,2022-04-19,0.0,2022,4
강동구,2022-04-20,0.0,2022,4
강동구,2022-04-21,0.0,2022,4
강동구,2022-04-22,0.0,2022,4
강동구,2022-04-23,0.0,2022,4
강동구,2022-04-24,0.0,2022,4
강동구,2022-04-25,1.5,2022,4
강동구,2022-04-26,12.0,2022,4
강동구,2022-04-27,0.0,2022,4
강동구,2022-04-28,0.0,2022,4
강동구,2022-04-29,52.5,2022,4
강동구,2022-04-30,0.0,2022,4
강동구,2022-05-01,0.0,2022,5
강동구,2022-05-02,0.0,2022,5
강동구,2022-05-03,0.0,2022,5
강동구,2022-05-04,0.0,2022,5
강동구,2022-05-05,0.0,2022,5
강동구,2022-05-06,0.0,2022,5
강동구,2022-05-07,0.0,2022,5
강동구,2022-05-08,7.5,2022,5
강동구,2022-05-09,0.0,2022,5
강동구,2022-05-10,0.0,2022,5
강동구,2022-05-11,0.0,2022,5
강동구,2022-05-12,0.0,2022,5
강동구,2022-05-13,0.0,2022,5
강동구,2022-05-14,0.0,2022,5
강동구,2022-05-15,0.0,2022,5
강동구,2022-05-16,0.0,2022,5
강동구,2022-05-17,0.0,2022,5
강동구,2022-05-18,1.5,2022,5
강동구,2022-05-19,0.0,2022,5
강동구,2022-05-20,0.0,2022,5
강동구,2022-05-21,0.0,2022,5
강동구,2022-05-22,0.0,2022,5
강동구,2022-05-23,0.0,2022,5
강동구,2022-05-24,0.0,2022,5
강동구,2022-05-25,15.0,2022,5
강동구,2022-05-26,0.0,2022,5
강동구,2022-05-27,0.0,2022,5
강동구,2022-05-28,0.0,2022,5
강동구,2022-05-29,0.0,2022,5
강동구,2022-05-30,0.0,2022,5
강동구,2022-05-31,0.0,2022,5
강동구,2022-06-01,0.0,2022,6
강동구,2022-06-02,0.0,2022,6
강동구,2022-06-03,0.0,2022,6
강동구,2022-06-04,0.0,2022,6
강동구,2022-06-05,4.5,2022,6
강동구,2022-06-06,19.5,2022,6
강동구,2022-06-07,0.0,2022,6
강동구,2022-06-08,0.0,2022,6
강동구,2022-06-09,0.0,2022,6
강동구,2022-06-10,3.0,2022,6
강동구,2022-06-11,0.0,2022,6
강동구,2022-06-12,0.0,2022,6
강동구,2022-06-13,85.5,2022,6
강동구,2022-06-14,3.0,2022,6
강동구,2022-06-15,57.0,2022,6
강동구,2022-06-16,12.0,2022,6
강동구,2022-06-17,0.0,2022,6
강동구,2022-06-18,0.0,2022,6
강동구,2022-06-19,0.0,2022,6
강동구,2022-06-20,0.0,2022,6
강동구,2022-06-21,0.0,2022,6
강동구,2022-06-22,0.0,2022,6
강동구,2022-06-23,280.5,2022,6
강동구,2022-06-24,52.5,2022,6
강동구,2022-06-25,0.0,2022,6
강동구,2022-06-26,0.0,2022,6
강동구,2022-06-27,25.5,2022,6
강동구,2022-06-28,4.5,2022,6
강동구,2022-06-29,144.0,2022,6
강동구,2022-06-30,633.0,2022,6
강동구,2022-07-01,0.0,2022,7
강동구,2022-07-02,0.0,2022,7
강동구,2022-07-03,0.0,2022,7
강동구,2022-07-04,0.0,2022,7
강동구,2022-07-05,70.5,2022,7
강동구,2022-07-06,60.0,2022,7
강동구,2022-07-07,4.5,2022,7
강동구,2022-07-08,0.0,2022,7
강동구,2022-07-09,0.0,2022,7
강동구,2022-07-10,0.0,2022,7
강동구,2022-07-11,0.0,2022,7
강동구,2022-07-12,0.0,2022,7
강동구,2022-07-13,405.0,2022,7
강동구,2022-07-14,1.5,2022,7
강동구,2022-07-15,0.0,2022,7
강동구,2022-07-16,88.5,2022,7
강동구,2022-07-17,0.0,2022,7
강동구,2022-07-18,0.0,2022,7
강동구,2022-07-19,3.0,2022,7
강동구,2022-07-20,3.0,2022,7
강동구,2022-07-21,49.5,2022,7
강동구,2022-07-22,34.5,2022,7
강동구,2022-07-23,51.0,2022,7
강동구,2022-07-24,10.5,2022,7
강동구,2022-07-25,0.0,2022,7
강동구,2022-07-26,0.0,2022,7
강동구,2022-07-27,0.0,2022,7
강동구,2022-07-28,0.0,2022,7
강동구,2022-07-29,0.0,2022,7
강동구,2022-07-30,0.0,2022,7
강동구,2022-07-31,111.0,2022,7
강동구,2022-08-01,79.5,2022,8
강동구,2022-08-02,45.0,2022,8
강동구,2022-08-03,144.0,2022,8
강동구,2022-08-04,0.0,2022,8
강동구,2022-08-05,0.0,2022,8
강동구,2022-08-06,73.5,2022,8
강동구,2022-08-07,1.5,2022,8
강동구,2022-08-08,646.5,2022,8
강동구,2022-08-09,406.5,2022,8
강동구,2022-08-10,45.0,2022,8
강동구,2022-08-11,136.5,2022,8
강동구,2022-08-12,0.0,2022,8
강동구,2022-08-13,7.5,2022,8
강동구,2022-08-14,3.0,2022,8
강동구,2022-08-15,12.0,2022,8
강동구,2022-08-16,0.0,2022,8
강동구,2022-08-17,0.0,2022,8
강동구,2022-08-18,0.0,2022,8
강동구,2022-08-19,159.0,2022,8
강동구,2022-08-20,1.5,2022,8
강동구,2022-08-21,0.0,2022,8
강동구,2022-08-22,6.0,2022,8
강동구,2022-08-23,7.5,2022,8
강동구,2022-08-24,0.0,2022,8
강동구,2022-08-25,6.0,2022,8
강동구,2022-08-26,0.0,2022,8
강동구,2022-08-27,30.0,2022,8
강동구,2022-08-28,0.0,2022,8
강동구,2022-08-29,7.5,2022,8
강동구,2022-08-30,136.5,2022,8
강동구,2022-08-31,0.0,2022,8
강동구,2022-09-01,0.0,2022,9
강동구,2022-09-02,0.0,2022,9
강동구,2022-09-03,0.0,2022,9
강동구,2022-09-04,54.0,2022,9
강동구,2022-09-05,532.5,2022,9
강동구,2022-09-06,120.0,2022,9
강동구,2022-09-07,0.0,2022,9
강동구,2022-09-08,0.0,2022,9
강동구,2022-09-09,0.0,2022,9
강동구,2022-09-10,0.0,2022,9
강동구,2022-09-11,1.5,2022,9
강동구,2022-09-12,0.0,2022,9
강동구,2022-09-13,0.0,2022,9
강동구,2022-09-14,0.0,2022,9
강동구,2022-09-15,0.0,2022,9
강동구,2022-09-16,97.5,2022,9
강동구,2022-09-17,21.0,2022,9
강동구,2022-09-18,0.0,2022,9
강동구,2022-09-19,0.0,2022,9
강동구,2022-09-20,0.0,2022,9
강동구,2022-09-21,0.0,2022,9
강동구,2022-09-22,0.0,2022,9
강동구,2022-09-23,3.0,2022,9
강동구,2022-09-24,0.0,2022,9
강동구,2022-09-25,0.0,2022,9
강동구,2022-09-26,0.0,2022,9
강동구,2022-09-27,0.0,2022,9
강동구,2022-09-28,0.0,2022,9
강동구,2022-09-29,0.0,2022,9
강동구,2022-09-30,0.0,2022,9
강동구,2022-10-01,0.0,2022,10
강동구,2022-10-02,34.5,2022,10
강동구,2022-10-03,181.5,2022,10
강동구,2022-10-04,48.0,2022,10
강동구,2022-10-05,3.0,2022,10
강동구,2022-10-06,0.0,2022,10
강동구,2022-10-07,0.0,2022,10
강동구,2022-10-08,0.0,2022,10
강동구,2022-10-09,48.0,2022,10
강동구,2022-10-10,6.0,2022,10
강동구,2022-10-11,0.0,2022,10
강동구,2022-10-12,0.0,2022,10
강동구,2022-10-13,0.0,2022,10
강동구,2022-10-14,0.0,2022,10
강동구,2022-10-15,0.0,2022,10
강동구,2022-10-16,0.0,2022,10
강동구,2022-10-17,0.0,2022,10
강동구,2022-10-18,0.0,2022,10
강동구,2022-10-19,0.0,2022,10
강동구,2022-10-20,0.0,2022,10
강동구,2022-10-21,0.0,2022,10
강동구,2022-10-22,0.0,2022,10
강동구,2022-10-23,0.0,2022,10
강동구,2022-10-24,0.0,2022,10
강동구,2022-10-25,0.0,2022,10
강동구,2022-10-26,0.0,2022,10
강동구,2022-10-27,0.0,2022,10
강동구,2022-10-28,0.0,2022,10
강동구,2022-10-29,0.0,2022,10
강동구,2022-10-30,0.0,2022,10
강동구,2022-10-31,0.0,2022,10
강동구,2022-11-01,0.0,2022,11
강동구,2022-11-02,0.0,2022,11
강동구,2022-11-03,0.0,2022,11
강동구,2022-11-04,0.0,2022,11
강동구,2022-11-05,0.0,2022,11
강동구,2022-11-06,0.0,2022,11
강동구,2022-11-07,0.0,2022,11
강동구,2022-11-08,0.0,2022,11
강동구,2022-11-09,0.0,2022,11
강동구,2022-11-10,0.0,2022,11
강동구,2022-11-11,0.0,2022,11
강동구,2022-11-12,118.5,2022,11
강동구,2022-11-13,0.0,2022,11
강동구,2022-11-14,0.0,2022,11
강동구,2022-11-15,16.5,2022,11
강동구,2022-11-16,0.0,2022,11
강동구,2022-11-17,0.0,2022,11
강동구,2022-11-18,0.0,2022,11
강동구,2022-11-19,0.0,2022,11
강동구,2022-11-20,0.0,2022,11
강동구,2022-11-21,0.0,2022,11
강동구,2022-11-22,0.0,2022,11
강동구,2022-11-23,0.0,2022,11
강동구,2022-11-24,0.0,2022,11
강동구,2022-11-25,4.5,2022,11
강동구,2022-11-26,1.5,2022,11
